,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
317,2020-08-13T00:00:00.000,Three Rivers,70-79,64,13,7
318,2020-08-13T00:00:00.000,Three Rivers,80+,48,11,6
319,2020-08-13T00:00:00.000,Three Rivers,Missing,10,0,0
320,2020-08-13T00:00:00.000,Virginia Beach,0-9,160,0,0
321,2020-08-13T00:00:00.000,Virginia Beach,10-19,380,0,0
322,2020-08-13T00:00:00.000,Virginia Beach,20-29,1351,10,0
323,2020-08-13T00:00:00.000,Virginia Beach,30-39,1009,21,1
324,2020-08-13T00:00:00.000,Virginia Beach,40-49,682,24,2
325,2020-08-13T00:00:00.000,Virginia Beach,50-59,603,32,1
326,2020-08-13T00:00:00.000,Virginia Beach,60-69,466,58,5
327,2020-08-13T00:00:00.000,Virginia Beach,70-79,228,58,16
328,2020-08-13T00:00:00.000,Virginia Beach,80+,197,56,29
329,2020-08-13T00:00:00.000,Virginia Beach,Missing,128,0,0
330,2020-08-13T00:00:00.000,Western Tidewater,0-9,54,0,0
331,2020-08-13T00:00:00.000,Western Tidewater,10-19,143,0,0
332,2020-08-13T00:00:00.000,Western Tidewater,20-29,332,6,0
333,2020-08-13T00:00:00.000,Western Tidewater,30-39,354,16,1
334,2020-08-13T00:00:00.000,Western Tidewater,40-49,310,9,3
335,2020-08-13T00:00:00.000,Western Tidewater,50-59,381,20,4
336,2020-08-13T00:00:00.000,Western Tidewater,60-69,285,23,8
337,2020-08-13T00:00:00.000,Western Tidewater,70-79,174,27,20
338,2020-08-13T00:00:00.000,Western Tidewater,80+,191,34,45
339,2020-08-13T00:00:00.000,Western Tidewater,Missing,21,0,0
340,2020-08-13T00:00:00.000,West Piedmont,0-9,35,1,0
341,2020-08-13T00:00:00.000,West Piedmont,10-19,111,0,0
342,2020-08-13T00:00:00.000,West Piedmont,20-29,186,4,0
343,2020-08-13T00:00:00.000,West Piedmont,30-39,165,4,0
344,2020-08-13T00:00:00.000,West Piedmont,40-49,188,13,3
345,2020-08-13T00:00:00.000,West Piedmont,50-59,209,33,3
346,2020-08-13T00:00:00.000,West Piedmont,60-69,143,22,1
347,2020-08-13T00:00:00.000,West Piedmont,70-79,86,30,5
348,2020-08-13T00:00:00.000,West Piedmont,80+,94,42,5
349,2020-08-13T00:00:00.000,West Piedmont,Missing,0,0,0
350,2020-08-12T00:00:00.000,Alexandria,0-9,171,2,0
