Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths,Health Planning Region
4/25/2020,Confirmed,69,2,2,Northwest
6/26/2020,Confirmed,17,3,0,Central
6/23/2020,Confirmed,113,5,1,Eastern
3/30/2020,Confirmed,36,7,0,Northwest
4/25/2020,Probable,2,0,0,Central
4/23/2020,Probable,9,0,0,Northwest
5/11/2020,Probable,2,0,0,Southwest
3/19/2020,Probable,1,0,0,Eastern
6/1/2020,Probable,8,0,0,Northwest
5/22/2020,Probable,12,0,0,Northwest
6/26/2020,Confirmed,43,4,1,Northern
5/18/2020,Probable,6,0,1,Eastern
4/10/2020,Probable,1,0,0,Southwest
4/28/2020,Confirmed,484,52,17,Northern
6/20/2020,Probable,2,0,0,Southwest
6/4/2020,Confirmed,95,4,0,Northwest
6/19/2020,Probable,2,0,0,Southwest
6/12/2020,Confirmed,71,3,1,Northwest
4/29/2020,Confirmed,477,58,15,Northern
3/24/2020,Probable,8,0,0,Central
4/20/2020,Probable,2,0,0,Eastern
5/21/2020,Confirmed,97,6,2,Northwest
6/30/2020,Confirmed,4,0,1,Northwest
5/6/2020,Confirmed,65,10,4,Northwest
5/2/2020,Confirmed,397,55,26,Northern
5/31/2020,Probable,6,1,0,Northern
4/8/2020,Probable,6,0,0,Eastern
4/12/2020,Confirmed,13,1,1,Southwest
6/14/2020,Confirmed,30,1,0,Southwest
2/27/2020,Confirmed,1,0,0,Northern
6/6/2020,Confirmed,36,4,0,Southwest
6/6/2020,Probable,11,0,0,Northwest
2/19/2020,Probable,1,0,0,Northern
2/29/2020,Confirmed,1,0,0,Northern
4/8/2020,Confirmed,61,10,0,Northwest
6/3/2020,Probable,4,0,0,Northern
4/13/2020,Probable,12,0,0,Northwest
5/20/2020,Probable,17,1,0,Northern
3/2/2020,Confirmed,7,0,0,Northern
4/2/2020,Probable,4,0,0,Northwest
5/25/2020,Probable,17,0,0,Northern
4/1/2020,Probable,11,0,0,Northwest
